EpLenMean,loss_kl,loss_vf_loss,loss_pol_entpen,EpThisIter,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_ent,ev_tdlam_before,TimeElapsed,EpisodesSoFar
918.98,0.00972334,66.037,0.0,2,918.98,159346,-0.00666285,1.0102,0.0146016478539,125.31230545043945,922
918.98,0.00732206,65.2697,0.0,2,918.98,161346,-0.00903538,1.02848,0.0538801550865,126.92197918891907,924
914.75,0.00496087,61.8466,0.0,2,914.75,162923,-0.00685644,1.01983,0.0543718338013,128.5169162750244,926
922.15,0.00649838,67.4836,0.0,2,922.15,164923,-0.00674366,1.01288,-0.0536723136902,130.1251585483551,928
922.15,0.0119213,100.774,0.0,3,922.15,167923,-0.00577298,1.00274,-0.00338101387024,131.7353012561798,931
921.59,0.00418589,64.0386,0.0,2,921.59,169222,-0.00345439,1.00373,-0.00519406795502,133.34335947036743,933
923.74,0.00628213,72.637,0.0,3,923.74,171766,-0.00855672,1.01443,0.114862680435,134.93729186058044,936
925.97,0.00561502,62.8025,0.0,2,925.97,173442,-0.00685503,0.987549,0.00563657283783,136.54532194137573,938
920.52,0.00317068,62.1062,0.0,3,920.52,175838,-0.00784035,0.987165,0.127651333809,138.13728713989258,941
916.56,0.00747962,51.2191,0.0,2,916.56,177442,-0.00765345,0.967927,0.0518025159836,139.75045132637024,943
916.56,0.00612444,67.6452,0.0,2,916.56,179442,-0.00822468,0.958686,0.0392881631851,141.34494543075562,945
916.56,0.0108257,68.7869,0.0,2,916.56,181442,-0.0097445,0.97755,-0.0129388570786,142.96836757659912,947
916.56,0.00425849,69.9837,0.0,2,916.56,183442,-0.00628461,0.98909,-0.0383207798004,144.562105178833,949
905.61,0.00927002,67.2261,0.0,4,905.61,186347,-0.00917985,0.997898,0.147774159908,146.17013311386108,953
905.45,0.00787412,39.032,0.0,2,905.45,188331,-0.00928795,0.978993,0.421696901321,147.781343460083,955
890.97,0.00700211,58.5108,0.0,3,890.97,189883,-0.0105747,0.974203,0.42405718565,149.37477326393127,958
890.97,0.0078684,35.8384,0.0,2,890.97,191883,-0.00993816,0.993878,0.362873136997,150.9686541557312,960
888.6,0.0083485,46.2527,0.0,2,888.6,193646,-0.0115037,0.985435,0.430877566338,152.59464955329895,962
888.6,0.00635035,70.545,0.0,2,888.6,195646,-0.0039757,0.974888,-0.0485825538635,154.2041277885437,964
888.6,0.00658856,103.046,0.0,3,888.6,198646,-0.00459639,0.993986,-0.00160527229309,155.82764625549316,967
898.04,0.00429698,68.522,0.0,2,898.04,200646,-0.00526397,0.973118,-0.0178459882736,157.43768191337585,969
898.04,0.00906658,68.5734,0.0,2,898.04,202646,-0.00555883,0.979517,-0.00258767604828,159.03114891052246,971
898.04,0.00803325,68.5092,0.0,2,898.04,204646,-0.00584979,0.977885,-0.00394821166992,160.64152073860168,973
882.99,0.00724141,72.5451,0.0,3,882.99,206141,-0.0137219,0.952004,0.0420365333557,162.23396492004395,976
884.81,0.00744948,69.2188,0.0,2,884.81,208141,-0.00609882,0.949118,-0.0767604112625,163.84363722801208,978
884.81,0.00779554,68.9241,0.0,2,884.81,210141,-0.00637743,0.960064,-0.0451600551605,165.43736720085144,980
891.46,0.00794256,67.741,0.0,2,891.46,212141,-0.00554908,0.961906,-0.00705146789551,167.03197383880615,982
903.74,0.00682993,67.8947,0.0,2,903.74,214141,-0.00670135,0.966112,-0.00325155258179,168.64035272598267,984
903.74,0.00800735,67.9862,0.0,2,903.74,216141,-0.00779697,0.974638,-8.97645950317e-05,170.23395204544067,986
903.74,0.00683367,53.6993,0.0,2,903.74,218141,-0.00707513,0.999948,0.0233890414238,171.84485006332397,988
901.77,0.00744926,51.969,0.0,3,901.77,220944,-0.0100978,1.00676,-0.00718402862549,173.43802165985107,991
901.77,0.00772146,69.3741,0.0,2,901.77,222944,-0.00725056,0.996212,-0.0183178186417,175.04749822616577,993
896.98,0.00633016,60.0739,0.0,2,896.98,224465,-0.0104771,1.00442,0.0998247265816,176.64023995399475,995
896.98,0.00639785,64.8212,0.0,2,896.98,226465,-0.00799305,1.02827,-0.00082266330719,178.25033569335938,997
896.98,0.00674432,67.7365,0.0,2,896.98,228465,-0.00688839,1.01977,0.0101220011711,179.8433940410614,999
897.37,0.0173925,80.996,0.0,3,897.37,231292,-0.0135758,1.02895,0.00986498594284,181.45258712768555,1002
897.37,0.012006,69.1746,0.0,2,897.37,233292,-0.00590379,1.03668,-0.0149474143982,183.0474693775177,1004
897.37,0.0040314,69.1347,0.0,2,897.37,235292,-0.0047641,1.02967,-0.0111398696899,184.64882373809814,1006
903.22,0.0101017,62.8744,0.0,2,903.22,237292,-0.0128324,1.03023,0.020305454731,186.2501735687256,1008
903.22,0.00900011,62.8955,0.0,2,903.22,239292,-0.00827733,1.03199,0.0363859534264,187.85896754264832,1010
903.22,0.0146377,68.8724,0.0,2,903.22,241292,-0.00477889,1.06432,-0.0297290086746,189.45344805717468,1012
908.54,0.0069257,62.9925,0.0,2,908.54,243292,-0.00533812,1.06412,0.022468149662,191.04692792892456,1014
912.53,0.0135266,69.4356,0.0,2,912.53,245292,-0.00355925,1.05977,-0.0171476602554,192.65640568733215,1016
912.53,0.0074113,69.2598,0.0,2,912.53,247292,-0.00400895,1.06668,-0.00852334499359,194.2812099456787,1018
893.27,0.00393526,141.969,0.0,5,893.27,249673,-0.00648844,1.03748,0.0165563821793,195.89097023010254,1023
897.5,0.00747657,66.5728,0.0,2,897.5,251673,-0.00419051,1.00908,-0.060093998909,197.4844205379486,1025
892.17,0.0058382,61.5055,0.0,2,892.17,253140,-0.00544184,0.991754,-0.00757038593292,199.0935754776001,1027
892.17,0.00554838,66.2234,0.0,2,892.17,255140,-0.00806264,0.98482,-0.0496299266815,200.68717694282532,1029
892.17,0.00480416,66.6497,0.0,2,892.17,257140,-0.00597158,0.998211,-0.00565648078918,202.28095078468323,1031
899.18,0.00543052,62.2147,0.0,2,899.18,259140,-0.00830539,0.980667,0.00796216726303,203.89194655418396,1033
903.74,0.0051589,99.3041,0.0,3,903.74,262140,-0.00732731,0.980985,-0.00840353965759,205.4999976158142,1036
906.98,0.0108932,66.6485,0.0,2,906.98,264140,-0.00593347,0.972885,-0.00511729717255,207.09341263771057,1038
906.98,0.00664196,66.9403,0.0,2,906.98,266140,-0.00554234,0.965864,-0.0017706155777,208.69706535339355,1040
913.02,0.00786468,67.2461,0.0,2,913.02,268140,-0.00671394,1.00263,-0.000722646713257,210.29708242416382,1042
900.17,0.0131365,88.007,0.0,3,900.17,269459,-0.0151518,0.988556,0.00492477416992,211.89060974121094,1045
900.17,0.0123218,55.3127,0.0,2,900.17,271459,-0.0130758,0.97928,0.0504429340363,213.49989557266235,1047
900.17,0.00263346,67.5658,0.0,2,900.17,273459,-0.00384546,1.00609,-0.00827431678772,215.0938217639923,1049
906.82,0.0200168,99.2226,0.0,3,906.82,276459,-0.00755947,1.00604,-0.00237059593201,216.70350790023804,1052
905.09,0.00899734,64.5027,0.0,2,905.09,277856,-0.012513,1.00826,0.0153738856316,218.29736185073853,1054
913.97,0.00677958,67.4859,0.0,2,913.97,279856,-0.00436947,1.02879,-0.00358915328979,219.906564950943,1056
919.73,0.00562708,67.3475,0.0,2,919.73,281856,-0.0078877,1.03171,0.00128614902496,221.50021839141846,1058
919.73,0.0193477,67.6417,0.0,2,919.73,283856,-0.0113571,1.04007,-0.0181546211243,223.093918800354,1060
922.1,0.00255133,67.7581,0.0,2,922.1,285856,-0.00328222,1.03226,-0.000674605369568,224.68892407417297,1062
922.1,0.014814,67.891,0.0,2,922.1,287856,-0.0105321,1.03109,-0.00106918811798,226.29726386070251,1064
917.52,0.00702766,96.6525,0.0,3,917.52,290398,-0.00542529,1.01871,0.0146702528,227.89167737960815,1067
917.52,0.0108706,67.2651,0.0,2,917.52,292398,-0.0068354,1.03657,-0.0100597143173,229.49996614456177,1069
917.52,0.0119538,67.4403,0.0,2,917.52,294398,-0.0082869,1.04654,-0.00108742713928,231.09355545043945,1071
917.52,0.00509262,67.6826,0.0,2,917.52,296398,-0.00568286,1.04482,-0.00108408927917,232.68870306015015,1073
932.57,0.00581675,63.79,0.0,2,932.57,298398,-0.00595243,1.04212,0.00155067443848,234.31269645690918,1075
932.57,0.00686805,68.2911,0.0,2,932.57,300398,-0.00680004,1.05591,-0.0122067928314,235.90613460540771,1077
932.57,0.00448465,68.0724,0.0,2,932.57,302398,-0.00565762,1.05223,-6.89029693604e-05,237.5152997970581,1079
