ev_tdlam_before,EpisodesSoFar,loss_vf_loss,EpLenMean,loss_pol_surr,EpRewMean,loss_ent,EpThisIter,loss_pol_entpen,TimestepsSoFar,TimeElapsed,loss_kl
-0.00421845912933,886,68.5403,868.38,-0.00515905,868.38,0.918621,2,0.0,159113,125.37101674079895,0.00668233
0.21170258522,888,37.3983,867.17,-0.00757249,867.17,0.908913,2,0.0,160992,126.96466088294983,0.0092775
0.0541828274727,890,61.7451,867.17,-0.00657974,867.17,0.888926,2,0.0,162992,128.56642723083496,0.00271717
-0.0144367218018,892,70.5024,867.17,-0.00329325,867.17,0.884288,2,0.0,164992,130.19237804412842,0.00601273
-0.0192493200302,894,69.8656,867.17,-0.00584685,867.17,0.863462,2,0.0,166992,131.79265546798706,0.00652387
-0.00586152076721,896,69.5406,867.17,-0.00430839,867.17,0.849007,2,0.0,168992,133.39398956298828,0.00572034
-0.00657558441162,899,90.749,867.17,-0.00437151,867.17,0.853607,3,0.0,171992,135.0035400390625,0.00942635
0.476645648479,901,12.8507,868.51,-0.0100086,868.51,0.865562,2,0.0,173280,136.59808921813965,0.0104565
-0.0153676271439,904,97.3952,863.36,-0.00935631,863.36,0.854695,3,0.0,175765,138.2063021659851,0.00709113
-0.00119864940643,906,68.7533,863.36,-0.00461106,863.36,0.867877,2,0.0,177765,139.80089950561523,0.00446128
-0.00271844863892,908,68.8319,869.94,-0.00605508,869.94,0.852563,2,0.0,179765,141.39757585525513,0.00658382
-0.000615119934082,910,68.7875,869.94,-0.00806417,869.94,0.854416,2,0.0,181765,142.9972631931305,0.00793366
0.169257581234,912,40.5936,867.22,-0.0108233,867.22,0.84791,2,0.0,183493,144.5975923538208,0.00542587
-0.000899791717529,914,68.4321,867.22,-0.00796669,867.22,0.851961,2,0.0,185493,146.18286323547363,0.0121365
-0.00312125682831,916,69.5074,875.8,-0.00309337,875.8,0.858203,2,0.0,187493,147.7849338054657,0.00734515
-0.00684344768524,918,63.1723,875.8,-0.00699019,875.8,0.858275,2,0.0,189493,149.3970901966095,0.00725697
-0.0163916349411,921,100.367,875.8,-0.00592355,875.8,0.842836,3,0.0,192493,150.9911243915558,0.00501394
