loss_vf_loss,EpRewMean,ev_tdlam_before,loss_pol_entpen,loss_pol_surr,TimeElapsed,loss_ent,loss_kl,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpLenMean
8.15207,1834.52259398,0.996319157071,0.0,-0.0398575,391.0862374305725,2.12825,0.0180662,5,1697,350086,538.62
9.11946,1852.63808811,0.995544889476,0.0,-0.0365933,393.2269778251648,2.10296,0.0173475,2,1699,351677,543.98
12.8747,1894.04243532,0.96796393767,0.0,-0.0226271,395.39078640937805,2.09766,0.0180624,3,1702,354140,556.02
4.30494,1887.46375642,0.994032312185,0.0,-0.0330706,397.46973419189453,2.08417,0.0146762,3,1705,355719,553.7
317.035,1873.27946298,0.890761606395,0.0,-0.0224309,399.6038706302643,2.10023,0.0263964,4,1709,357579,550.1
412.839,1876.47269789,0.889578051865,0.0,-0.0211991,401.7502541542053,2.10207,0.0217971,4,1713,359546,551.54
255.896,1891.00261806,0.916924342513,0.0,-0.0236827,403.93753004074097,2.0703,0.0217532,4,1717,362198,555.79
443.869,1926.56616767,0.841434672475,0.0,-0.016549,406.04734778404236,2.09983,0.0389653,3,1720,364309,566.39
8.65681,1946.36548941,0.993043850642,0.0,-0.0374046,408.1646001338959,2.09844,0.0225399,3,1723,366510,572.08
5.24734,1978.04984152,0.996625752421,0.0,-0.035878,410.2895312309265,2.07886,0.0223843,2,1725,368358,581.46
6.01245,1955.75796556,0.996612493647,0.0,-0.0341436,412.46102595329285,2.06597,0.015903,3,1728,369924,574.35
5.45952,1993.22971211,0.997931742109,0.0,-0.0401916,414.71784949302673,2.02953,0.0181254,4,1732,372619,585.12
8.52519,1992.82597959,0.996993340319,0.0,-0.0338793,416.9163966178894,1.99772,0.0170037,4,1736,374762,584.7
5.88902,1981.56848053,0.997258397052,0.0,-0.0395401,419.20417737960815,2.01248,0.0189071,4,1740,376758,580.75
358.781,1997.67625395,0.758574008942,0.0,-0.0169424,421.47030901908875,2.00454,0.017397,2,1742,378159,585.79
7.30311,1991.212416,0.995259626303,0.0,-0.0357606,423.8049020767212,1.98008,0.0170659,4,1746,380633,583.85
10.107,1986.97280272,0.99458890548,0.0,-0.036597,426.11778831481934,1.98796,0.017704,6,1752,382922,582.54
412.331,1988.73000264,0.855752453208,0.0,-0.014883,428.4450671672821,1.98614,0.0194403,3,1755,384976,583.34
7.71926,2009.23518378,0.995750677306,0.0,-0.0343569,430.71122431755066,1.96461,0.0169301,4,1759,387003,589.04
4.48062,2023.66076467,0.996804044116,0.0,-0.0378888,433.1496889591217,1.94963,0.0220083,2,1761,388724,593.06
401.739,1991.66420107,0.863216742873,0.0,-0.0257582,435.57057309150696,1.92918,0.0573824,6,1767,391148,584.01
9.15828,2017.48900209,0.979458678514,0.0,-0.0299477,438.0546967983246,1.91184,0.0210881,2,1769,392822,591.46
3.93566,2021.26178093,0.997062449576,0.0,-0.0288903,440.48472833633423,1.89287,0.018545,4,1773,394913,592.21
3.02796,1983.40274353,0.996825482463,0.0,-0.0213012,442.8913083076477,1.88912,0.0234202,4,1777,396567,579.95
3.21607,1975.72835931,0.997719512787,0.0,-0.0239472,445.3673024177551,1.88239,0.0215469,5,1782,399021,577.31
4.37143,1933.40741607,0.998110004468,0.0,-0.0379053,447.8855621814728,1.85796,0.0161728,5,1787,401188,564.46
3.57492,1901.85839911,0.998530223267,0.0,-0.037484,450.4771990776062,1.82945,0.0165746,5,1792,403203,555.04
16.1563,1843.63527727,0.993728441652,0.0,-0.039154,452.96357345581055,1.83976,0.0267926,7,1799,405484,538.07
408.212,1839.1352558,0.783477947116,0.0,-0.0145565,455.4630744457245,1.8373,0.0253177,2,1801,407317,536.9
245.552,1855.92436812,0.883599229157,0.0,-0.0181187,457.8290343284607,1.8593,0.0169967,3,1804,409263,542.27
306.885,1862.37263607,0.77227473259,0.0,-0.0194882,459.97687220573425,1.85381,0.0256644,2,1806,411120,544.01
569.67,1911.89155319,0.39385253191,0.0,-0.0198804,462.13461780548096,1.86144,0.0159875,2,1808,413120,559.14
270.814,1921.37413694,0.890445902944,0.0,-0.0262771,464.2575900554657,1.86483,0.0222784,3,1811,415043,561.86
303.948,1936.13575773,0.869270473719,0.0,-0.019693,466.3995656967163,1.8529,0.0258858,3,1814,417177,566.31
19.2072,1949.30437055,0.977960795164,0.0,-0.0319175,468.51649498939514,1.81797,0.0186288,3,1817,419197,569.99
812.257,1976.78378913,0.0689978599548,0.0,-0.0161558,470.6969528198242,1.81713,0.0315588,2,1819,421197,578.88
386.02,1983.8664677,0.837450757623,0.0,-0.0211519,472.8546509742737,1.83627,0.020916,3,1822,423644,581.12
410.545,1981.12084281,0.748773962259,0.0,-0.0213651,474.98479199409485,1.83052,0.0437694,2,1824,425516,581.03
762.216,1991.50277574,0.102167129517,0.0,-0.0179115,477.0943822860718,1.86734,0.0176263,2,1826,427516,584.98
415.792,2002.88263575,0.858763948083,0.0,-0.0161223,479.2263431549072,1.87,0.0285697,3,1829,429732,589.08
534.972,1996.10839397,0.683920383453,0.0,-0.0200469,481.3593862056732,1.85583,0.0416882,3,1832,431411,587.92
32.9599,1997.58809557,0.972059536725,0.0,-0.0357552,483.5078196525574,1.84302,0.0193212,5,1837,434094,588.68
386.073,2014.83661711,0.718929767609,0.0,-0.0234919,485.63578486442566,1.85882,0.0297307,2,1839,435830,594.21
8.41662,2047.89571594,0.979990290478,0.0,-0.0277835,487.7495951652527,1.86728,0.0188664,2,1841,437546,603.87
283.595,2050.5232557,0.768672287464,0.0,-0.0139774,489.92136430740356,1.88318,0.0163841,2,1843,439453,604.64
783.093,2069.2824575,0.60085362196,0.0,-0.0213524,492.0933072566986,1.89762,0.0204595,3,1846,441726,610.93
408.235,2105.32213765,0.820846006274,0.0,-0.0174261,494.27412009239197,1.94241,0.0221198,3,1849,443987,621.71
8.73827,2136.34610443,0.991605270654,0.0,-0.0389637,496.392945766449,1.93092,0.0288883,4,1853,446361,630.63
658.425,2130.6890398,0.60469648242,0.0,-0.0234204,498.5616264343262,1.93425,0.0294251,3,1856,448399,629.45
12.5976,2129.40924947,0.98388697952,0.0,-0.0338317,500.7340922355652,1.94619,0.0194907,3,1859,449918,629.15
9.32157,2116.50046056,0.992724532727,0.0,-0.037992,502.9696969985962,1.92349,0.017274,3,1862,452218,625.57
5.09652,2153.53540302,0.996688212035,0.0,-0.0423921,505.22666692733765,1.86735,0.0210257,3,1865,453735,635.94
467.453,2159.04465991,0.81671923399,0.0,-0.0255371,507.4846816062927,1.89219,0.021788,4,1869,456675,638.53
228.844,2151.7900922,0.888630218804,0.0,-0.0282195,509.8134787082672,1.86439,0.0153752,3,1872,458277,637.26
16.8259,2182.98389276,0.971981441602,0.0,-0.0385182,512.0866320133209,1.82217,0.0210819,4,1876,460787,646.58
