loss_pol_entpen,EpRewMean,loss_ent,TimeElapsed,TimestepsSoFar,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,loss_vf_loss,ev_tdlam_before,EpLenMean
0.0,973.71,0.741873,142.8826174736023,178174,929,0.00515767,3,-0.00613913,101.414,-0.0012708902359,973.71
0.0,973.71,0.72747,144.50466465950012,180174,931,0.00581057,2,-0.00564917,67.8825,-0.00195419788361,973.71
0.0,973.71,0.740742,146.14044666290283,182174,933,0.00526794,2,-0.00362396,68.0052,-0.000229358673096,973.71
0.0,973.71,0.734071,147.78106665611267,184174,935,0.00742326,2,-0.00313989,68.0766,0.000110924243927,973.71
0.0,973.71,0.723375,149.4060618877411,186174,937,0.0149552,2,-0.00355326,68.17,-0.000238537788391,973.71
0.0,973.71,0.726166,151.0623071193695,188174,939,0.00446628,2,-0.00454085,68.344,-0.000295162200928,973.71
0.0,973.71,0.757316,152.6873016357422,190174,941,0.00632034,2,-0.00333071,68.3985,-0.000514388084412,973.71
0.0,973.71,0.746595,154.32792139053345,192174,943,0.00808372,2,-0.00609535,68.313,0.0001580119133,973.71
0.0,980.37,0.745793,155.9529161453247,194174,945,0.00421481,2,-0.00285475,68.355,-0.000455617904663,980.37
0.0,980.37,0.735708,157.59353756904602,196174,947,0.00832302,2,-0.00388472,68.3736,-0.000232458114624,980.37
0.0,986.92,0.718097,159.2256727218628,198174,949,0.00582152,2,-0.00419793,60.4254,0.000326156616211,986.92
0.0,986.92,0.681246,160.86796808242798,200174,951,0.0178523,2,-0.00458349,68.3916,-0.0755718946457,986.92
0.0,986.92,0.679659,162.5006136894226,202174,953,0.00204632,2,-0.00278695,67.8537,-0.00578331947327,986.92
0.0,986.92,0.675032,164.14133548736572,204174,955,0.00637252,2,-0.00593802,67.8879,-0.00142192840576,986.92
0.0,986.92,0.673058,165.78157234191895,206174,957,0.0057926,2,-0.00552718,68.0962,-0.000881791114807,986.92
0.0,986.92,0.66992,167.41369462013245,208174,959,0.00750927,2,-0.00408986,68.1473,-0.00321447849274,986.92
0.0,989.32,0.692295,169.05548763275146,210174,961,0.00585399,2,-0.00478175,68.2397,-0.000294804573059,989.32
0.0,1000.0,0.702688,170.68810176849365,212174,963,0.0132549,2,-0.00652236,66.393,0.00273609161377,1000.0
0.0,1000.0,0.693967,172.33006811141968,214174,965,0.00812782,2,-0.00548496,68.5641,-0.0181692838669,1000.0
0.0,1000.0,0.708526,173.94357991218567,216174,967,0.0102905,2,-0.00930448,45.3404,0.00798410177231,1000.0
0.0,1000.0,0.666648,175.6105351448059,218174,969,0.00725766,2,-0.00929341,75.7206,-0.358915448189,1000.0
0.0,1000.0,0.667033,177.22806215286255,221174,972,0.0115638,3,-0.00318772,100.73,-0.0306513309479,1000.0
0.0,1000.0,0.663713,178.87495112419128,223174,974,0.0125206,2,-0.00331571,66.8243,-0.00632894039154,1000.0
0.0,1000.0,0.679829,180.4999463558197,225174,976,0.00879332,2,-0.00703554,63.6468,-0.00389409065247,1000.0
0.0,1000.0,0.680208,182.15619325637817,227174,978,0.00277179,2,-0.00523828,64.6563,0.00988906621933,1000.0
0.0,1000.0,0.669515,183.76556181907654,229174,980,0.0031026,2,-0.00482959,67.5475,-0.000596642494202,1000.0
0.0,1000.0,0.662986,185.42180824279785,231174,982,0.00536674,2,-0.0077258,62.111,-0.00809586048126,1000.0
0.0,1000.0,0.657428,187.0624270439148,233174,984,0.00893408,2,-0.0045313,68.1604,-0.0320497751236,1000.0
0.0,1000.0,0.66132,188.70304942131042,235174,986,0.00580738,2,-0.00393201,68.284,-0.00712931156158,1000.0
0.0,1000.0,0.672387,190.34367036819458,237174,988,0.0058436,2,-0.0037953,68.3792,-0.000541687011719,1000.0
0.0,1000.0,0.681894,191.96866250038147,239174,990,0.002848,2,-0.00403771,68.2545,-0.00818133354187,1000.0
0.0,1000.0,0.678067,193.62579226493835,241174,992,0.0050094,2,-0.00715414,69.0945,-0.0589454174042,1000.0
0.0,1000.0,0.654285,195.23408317565918,243174,994,0.00735037,2,-0.00697746,67.9031,-0.00146675109863,1000.0
0.0,972.78,0.632119,196.8903293609619,245452,999,0.00776082,5,-0.0148701,39.943,0.562474787235,972.78
0.0,972.78,0.627652,198.5153238773346,247452,1001,0.00642401,2,-0.00643576,69.8861,-0.0465703010559,972.78
0.0,972.78,0.62483,200.17156863212585,249452,1003,0.00974708,2,-0.00662724,68.9438,-0.008749127388,972.78
0.0,947.06,0.622086,201.79657554626465,251880,1008,0.0078559,5,-0.0169963,109.113,0.154508948326,947.06
0.0,947.06,0.609939,203.43733930587769,253880,1010,0.00599823,2,-0.00597433,67.7968,-0.0421780347824,947.06
0.0,927.43,0.605592,205.06233501434326,255917,1014,0.00780426,4,-0.0135118,86.0801,0.311263263226,927.43
0.0,927.43,0.590468,206.70295524597168,257917,1016,0.0113777,2,-0.00747537,58.3076,0.134475708008,927.43
0.0,927.43,0.594895,208.32852244377136,259917,1018,0.014063,2,-0.0105178,66.9146,0.00301903486252,927.43
0.0,927.43,0.600105,209.97326970100403,261917,1020,0.0230669,2,-0.00383444,69.2862,-0.0173006057739,927.43
0.0,920.38,0.60596,211.60540437698364,263212,1022,0.0066086,2,-0.0107864,55.7741,0.0415006279945,920.38
0.0,920.38,0.594418,213.2508885860443,266212,1025,0.0152896,3,-0.0038099,98.5486,-0.00399434566498,920.38
0.0,920.38,0.598514,214.89247846603394,268212,1027,0.00845903,2,-0.0069455,67.7825,0.00703030824661,920.38
0.0,920.38,0.597032,216.50896573066711,270212,1029,0.00843372,2,-0.00438119,65.8364,0.0248149633408,920.38
0.0,920.38,0.597119,218.16502594947815,272212,1031,0.0049584,2,-0.00793964,62.2563,0.0172700881958,920.38
0.0,920.38,0.577909,219.78970551490784,274212,1033,0.0107818,2,-0.00381445,69.3653,-0.00250601768494,920.38
0.0,920.38,0.575751,221.4502398967743,276212,1035,0.0076697,2,-0.00902975,68.4132,-0.0148513317108,920.38
0.0,920.38,0.567867,223.06438207626343,278212,1037,0.00932029,2,-0.00415034,69.2527,-0.00514996051788,920.38
0.0,920.38,0.574225,224.71969413757324,280212,1039,0.00966489,2,-0.00578613,66.5591,-0.0130654573441,920.38
0.0,920.38,0.563709,226.33620429039001,282212,1041,0.00679983,2,-0.0102973,54.5045,0.144910693169,920.38
0.0,920.38,0.580427,227.99432969093323,284212,1043,0.00784386,2,-0.00683691,64.0062,0.0153770446777,920.38
0.0,920.38,0.548163,229.62499570846558,286212,1045,0.0146684,2,-0.00498363,63.1893,-0.0105868577957,920.38
0.0,920.38,0.535251,231.26561617851257,288212,1047,0.00651669,2,-0.00796478,67.1919,-0.018008351326,920.38
0.0,920.38,0.543554,232.906236410141,290212,1049,0.00537448,2,-0.00361534,69.1591,-0.0119792222977,920.38
0.0,920.38,0.552704,234.531231880188,292212,1051,0.00665737,2,-0.00476722,68.7803,-0.014657497406,920.38
0.0,920.38,0.561822,236.1783697605133,294212,1053,0.00275305,2,-0.0036468,68.9085,-0.00329911708832,920.38
0.0,920.38,0.583632,237.8052077293396,296212,1055,0.00716289,2,-0.00826706,63.8865,0.0435464382172,920.38
