loss_kl,TimeElapsed,loss_ent,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_pol_entpen,EpThisIter,loss_vf_loss,EpRewMean,ev_tdlam_before,TimestepsSoFar
0.0251338,223.53901195526123,3.32073,1000.0,-0.0530575,256,0.0,3,180.58,963.390179344,0.664123296738,256000
0.0245105,225.31591057777405,3.29318,1000.0,-0.0496033,258,0.0,2,172.788,978.096937982,0.325622558594,258000
0.0240445,227.09953546524048,3.24094,1000.0,-0.0573684,260,0.0,2,78.5137,982.783848221,0.976570367813,260000
0.0248325,228.882071018219,3.23677,1000.0,-0.0590939,262,0.0,2,103.113,994.536184239,0.970520537347,262000
0.025556,230.67233061790466,3.17755,1000.0,-0.0488014,264,0.0,2,147.588,1008.06188143,0.898611791432,264000
0.0211537,232.44614100456238,3.15193,1000.0,-0.0503191,266,0.0,2,176.81,1036.34549641,-0.00221455097198,266000
0.0266057,234.24215579032898,3.11534,1000.0,-0.0531557,268,0.0,2,119.106,1049.90537213,0.96518394351,268000
0.0208204,236.0235288143158,3.06273,1000.0,-0.0515782,270,0.0,2,143.664,1056.53489332,0.965229429305,270000
0.0212744,237.8050148487091,3.03898,1000.0,-0.0520253,272,0.0,2,191.753,1080.95346703,0.0186493396759,272000
0.0248148,239.587060213089,3.02457,1000.0,-0.0618404,274,0.0,2,155.955,1103.12002463,0.94323015213,274000
0.0263618,241.35977625846863,2.99916,1000.0,-0.0516982,276,0.0,2,197.901,1113.8637071,0.204520761967,276000
0.022797,243.1403408050537,2.96908,1000.0,-0.0528283,278,0.0,2,131.626,1116.27817192,0.959739062935,278000
0.0279435,244.92176127433777,2.90356,1000.0,-0.0644126,280,0.0,2,81.185,1121.30678675,0.973906863481,280000
0.0274201,246.70218324661255,2.88174,1000.0,-0.057785,282,0.0,2,144.873,1125.86589875,0.959053654224,282000
0.0213889,248.47706365585327,2.84598,1000.0,-0.0555603,284,0.0,2,203.559,1141.56237979,0.23297816515,284000
0.0238786,250.2462341785431,2.82516,1000.0,-0.0535548,286,0.0,2,206.249,1154.96303852,0.762890860438,286000
0.0305455,252.02262043952942,2.78782,1000.0,-0.0448252,288,0.0,2,119.903,1166.28551106,0.942982211709,288000
0.0224651,253.78823900222778,2.78132,1000.0,-0.050846,290,0.0,2,227.28,1178.97767735,0.237612903118,290000
0.0207767,255.56905961036682,2.77992,1000.0,-0.0506916,292,0.0,2,212.174,1195.24852801,0.107410132885,292000
0.0277081,257.33467745780945,2.74852,1000.0,-0.0532432,294,0.0,2,248.366,1212.23857735,0.74958345294,294000
0.023748,259.11592292785645,2.69669,1000.0,-0.0609646,296,0.0,2,144.69,1233.56128543,0.854116246104,296000
0.020136,260.88154339790344,2.68352,1000.0,-0.0546047,299,0.0,3,159.426,1233.91394338,0.957619633526,299000
0.0314278,262.6703324317932,2.63669,1000.0,-0.0531994,301,0.0,2,222.899,1256.89993815,0.0827857255936,301000
0.0283663,264.41333079338074,2.60731,1000.0,-0.0475762,303,0.0,2,226.882,1270.00333135,0.150627970695,303000
0.0243447,266.1977581977844,2.59733,1000.0,-0.0532691,305,0.0,2,169.976,1275.68372617,0.94437623769,305000
0.0261515,267.95292353630066,2.56969,1000.0,-0.0520673,307,0.0,2,133.564,1290.55437874,0.964070875198,307000
0.023862,269.7485544681549,2.53292,1000.0,-0.0613093,309,0.0,2,100.876,1287.58857634,0.957125082612,309000
0.0340854,271.4921889305115,2.50224,1000.0,-0.0522938,311,0.0,2,135.696,1289.16322885,0.966463558376,311000
0.0323887,273.27324962615967,2.45038,1000.0,-0.0552199,313,0.0,2,252.848,1303.48708115,0.0350620150566,313000
0.0264321,275.0239760875702,2.41906,1000.0,-0.0534015,315,0.0,2,172.749,1315.43913976,0.888285376132,315000
0.0218495,276.807359457016,2.39993,1000.0,-0.0521906,317,0.0,2,173.543,1330.41923448,0.945677716285,317000
0.0236545,278.5583596229553,2.41023,1000.0,-0.0512766,319,0.0,2,270.6,1345.08770579,0.0937066674232,319000
0.0201552,280.3397448062897,2.39241,1000.0,-0.052009,321,0.0,2,149.221,1352.19023232,0.962737288326,321000
0.0252598,282.105676651001,2.33425,1000.0,-0.0495336,323,0.0,2,152.765,1354.61639716,0.955268658698,323000
