TimestepsSoFar,EpisodesSoFar,loss_pol_surr,EpRewMean,TimeElapsed,EpThisIter,loss_ent,loss_kl,EpLenMean,loss_pol_entpen,ev_tdlam_before,loss_vf_loss
188400,3768,-0.0192242,-8.77964804074,159.40261268615723,41,-2.00018,0.0146595,50.0,0.0,0.935394436121,0.194093
190450,3809,-0.0200546,-8.94905386706,161.16848731040955,41,-1.99192,0.015476,50.0,0.0,0.946114204824,0.13735
192500,3850,-0.0167611,-8.97676801998,162.8874523639679,41,-2.01836,0.0319516,50.0,0.0,0.936198972166,0.118319
194550,3891,-0.0171516,-9.00003126568,164.62891674041748,41,-2.06556,0.0236926,50.0,0.0,0.947344366461,0.14423
196600,3932,-0.0204216,-9.35849469167,166.34072828292847,41,-2.07057,0.0167971,50.0,0.0,0.94100722298,0.163292
198650,3973,-0.0150535,-8.95902157113,168.07455587387085,41,-2.08897,0.0225213,50.0,0.0,0.954068690538,0.144701
200700,4014,-0.0178503,-9.03235743383,169.80929446220398,41,-2.10793,0.0197714,50.0,0.0,0.955210596323,0.154196
202750,4055,-0.0162175,-8.70210025471,171.54404473304749,41,-2.1272,0.013277,50.0,0.0,0.941708885133,0.113116
204800,4096,-0.018537,-8.79837155168,173.2698941230774,41,-2.17337,0.0225891,50.0,0.0,0.951753266156,0.128786
206800,4136,-0.0195229,-8.50324345067,175.0036654472351,40,-2.22788,0.0184325,50.0,0.0,0.947180550545,0.149648
208850,4177,-0.012536,-8.3482537261,176.7383873462677,41,-2.25698,0.0262309,50.0,0.0,0.93149638921,0.196007
210900,4218,-0.0188647,-8.44229257869,178.62926030158997,41,-2.27374,0.0181296,50.0,0.0,0.9634071365,0.154071
212950,4259,-0.0231651,-8.63440369124,180.34023666381836,41,-2.28852,0.0265985,50.0,0.0,0.958463385701,0.130821
215000,4300,-0.0180937,-8.10513634898,182.0749363899231,41,-2.3074,0.0193314,50.0,0.0,0.951436258852,0.107729
217050,4341,-0.0147806,-7.61980575724,183.78326153755188,41,-2.34647,0.016158,50.0,0.0,0.955766353756,0.148803
219100,4382,-0.0171751,-7.86236255852,185.52388167381287,41,-2.35408,0.0141716,50.0,0.0,0.954739782959,0.141927
221150,4423,-0.0219086,-7.40642010673,187.2351245880127,41,-2.35958,0.0213293,50.0,0.0,0.952964670956,0.10507
223200,4464,-0.015239,-7.39969487907,188.9696400165558,41,-2.37206,0.0247073,50.0,0.0,0.966181486845,0.0999945
225250,4505,-0.024598,-7.51235442013,190.6884970664978,41,-2.40767,0.0220077,50.0,0.0,0.957601174712,0.112992
227300,4546,-0.012039,-7.754099002,192.41486644744873,41,-2.41718,0.0191601,50.0,0.0,0.941597361118,0.129138
229350,4587,-0.0233462,-8.42010297968,194.14946007728577,41,-2.43061,0.0161931,50.0,0.0,0.959012880921,0.166169
231400,4628,-0.0109071,-8.25213341517,195.87391710281372,41,-2.45891,0.0199452,50.0,0.0,0.946151927114,0.144676
233450,4669,-0.00968071,-8.04532677283,197.59409046173096,41,-2.46049,0.0217688,50.0,0.0,0.94724772498,0.111862
235500,4710,-0.0208024,-8.21678068637,199.32121396064758,41,-2.46479,0.0173635,50.0,0.0,0.939503204077,0.174964
237550,4751,-0.0206591,-8.61667312947,201.05592703819275,41,-2.4923,0.0177318,50.0,0.0,0.959672864527,0.112287
239600,4792,-0.0152977,-8.80201082057,202.78924894332886,41,-2.51303,0.0238989,50.0,0.0,0.96850387007,0.113289
241650,4833,-0.0146415,-8.84297297918,204.50819969177246,41,-2.52998,0.0178353,50.0,0.0,0.954670842737,0.158597
243700,4874,-0.0185657,-8.4024310015,206.23513269424438,41,-2.56444,0.025688,50.0,0.0,0.961510445923,0.136578
245750,4915,-0.00901007,-8.82507427982,207.9699878692627,41,-2.57719,0.0269685,50.0,0.0,0.955327671021,0.14616
247800,4956,-0.0163817,-9.27287644503,209.73516941070557,41,-2.58519,0.0237806,50.0,0.0,0.968685451895,0.112729
249850,4997,-0.0154658,-9.48090494614,211.4850513935089,41,-2.62561,0.0198513,50.0,0.0,0.96539093554,0.103301
251900,5038,-0.0187573,-8.99584266035,213.21122646331787,41,-2.63873,0.0156934,50.0,0.0,0.948514044285,0.102136
253950,5079,-0.0194804,-8.49901616446,214.93696069717407,41,-2.67118,0.0211666,50.0,0.0,0.965056464076,0.113759
256000,5120,-0.0111149,-7.95359366866,216.65721487998962,41,-2.67735,0.0325455,50.0,0.0,0.969942517579,0.0881299
258000,5160,-0.0113838,-7.80687602717,218.38363337516785,40,-2.67596,0.025607,50.0,0.0,0.936292879283,0.104161
260050,5201,-0.0133678,-7.56616366344,220.11820244789124,41,-2.69157,0.0235372,50.0,0.0,0.927750334144,0.109535
262100,5242,-0.0195965,-8.08531731315,221.85284614562988,41,-2.70723,0.0213813,50.0,0.0,0.944654781371,0.155916
264150,5283,-0.0147289,-7.96170127696,223.55609965324402,41,-2.69911,0.0307128,50.0,0.0,0.953570500016,0.0925064
266200,5324,-0.0208207,-7.91574970308,225.29862427711487,41,-2.71446,0.0169663,50.0,0.0,0.92566499114,0.121316
268250,5365,-0.0145684,-7.89066711986,227.0131163597107,41,-2.72819,0.0314467,50.0,0.0,0.925190657377,0.126385
270300,5406,-0.0260024,-7.90973099317,228.74620151519775,41,-2.75767,0.018783,50.0,0.0,0.943241402507,0.080798
272350,5447,-0.0195143,-7.6978502633,230.4502944946289,41,-2.76023,0.0153031,50.0,0.0,0.951266195625,0.0994872
274400,5488,-0.0265809,-7.90929575202,232.19178104400635,41,-2.75435,0.0381188,50.0,0.0,0.958078626543,0.0828628
276450,5529,-0.0082968,-7.6576833405,233.91157007217407,41,-2.77,0.0271074,50.0,0.0,0.935567930341,0.104178
278500,5570,-0.0199486,-6.97398550413,235.62351727485657,41,-2.77446,0.025034,50.0,0.0,0.941344436258,0.108115
280550,5611,-0.0181506,-7.17769457619,237.33616018295288,41,-2.78396,0.0320312,50.0,0.0,0.940138734877,0.112911
282600,5652,-0.00247562,-7.12037528395,239.07050466537476,41,-2.79446,0.0364462,50.0,0.0,0.945667482913,0.0738327
284650,5693,-0.0211377,-7.28919047075,240.7893180847168,41,-2.82376,0.0184113,50.0,0.0,0.930229045451,0.0996259
286700,5734,-0.028206,-7.67298821487,242.52365636825562,41,-2.87338,0.0198091,50.0,0.0,0.948978405446,0.0863881
288750,5775,-0.0226142,-7.79430621925,244.23912525177002,41,-2.89569,0.021895,50.0,0.0,0.948509991169,0.0769785
290800,5816,-0.0209033,-7.62170207223,245.96723198890686,41,-2.92561,0.0288597,50.0,0.0,0.967745084316,0.0713927
292850,5857,-0.0254532,-7.30533223803,247.68696308135986,41,-2.94161,0.0196158,50.0,0.0,0.964636094868,0.0716979
294900,5898,-0.0157551,-7.25954127822,249.4142405986786,41,-2.96263,0.0253462,50.0,0.0,0.917547821999,0.0824648
296950,5939,-0.00877039,-7.48862037022,251.13295578956604,41,-2.95893,0.0441326,50.0,0.0,0.954379826784,0.079064
299000,5980,-0.0184919,-6.73500185008,252.8673255443573,41,-2.99045,0.021507,50.0,0.0,0.957210071385,0.0713485
301050,6021,-0.0213086,-6.99580691504,254.57755827903748,41,-2.9821,0.0264995,50.0,0.0,0.918851643801,0.095176
303100,6062,-0.0125547,-7.66183207862,256.320720911026,41,-2.99133,0.0289242,50.0,0.0,0.9216112867,0.170702
305150,6103,-0.021596,-7.7362823874,258.15535950660706,41,-3.00849,0.025934,50.0,0.0,0.934286549687,0.0716783
307200,6144,-0.0234719,-7.18920883961,259.8916029930115,41,-3.02806,0.0218509,50.0,0.0,0.959341719747,0.068445
309200,6184,-0.0233211,-7.31549990919,261.61008501052856,40,-3.0256,0.0381404,50.0,0.0,0.950405765325,0.0707399
311250,6225,-0.0279828,-7.4044535949,263.3521182537079,41,-3.02571,0.0263811,50.0,0.0,0.940531153232,0.0917218
313300,6266,-0.00350358,-7.36675201463,265.070919752121,41,-3.02761,0.0411475,50.0,0.0,0.967872682959,0.056808
315350,6307,-0.0152248,-7.16949089665,266.80518889427185,41,-3.02692,0.0231337,50.0,0.0,0.960070036352,0.0608446
