loss_kl,loss_pol_entpen,ev_tdlam_before,TimestepsSoFar,loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,loss_ent,EpisodesSoFar
0.0151175,0.0,0.481579899788,55000,-0.0469492,48.72718572616577,-441.361634725,19.9053,1000.0,2,6.3374,55
0.0161947,0.0,0.559520304203,57000,-0.0517648,50.539681911468506,-433.158790823,17.8086,1000.0,2,6.22,57
0.0145492,0.0,0.570792138577,59000,-0.0531836,52.33654975891113,-424.954456613,17.4862,1000.0,2,6.13118,59
0.0140255,0.0,0.640875965357,61000,-0.0554793,54.13342046737671,-419.586741897,22.907,1000.0,2,6.10721,61
0.0147357,0.0,0.696923643351,63000,-0.0518842,55.930288791656494,-410.934175741,18.1405,1000.0,2,6.03514,63
0.0161929,0.0,0.518827646971,65000,-0.0559613,57.742783308029175,-403.840109874,9.65015,1000.0,2,5.96617,65
0.0148069,0.0,0.0646436214447,67000,-0.0510278,59.53255248069763,-394.936525574,7.66954,1000.0,2,5.91349,67
0.0131539,0.0,0.329578995705,69000,-0.0523372,61.3367862701416,-385.784897998,9.91822,1000.0,2,5.83347,69
0.0145626,0.0,0.558810561895,71000,-0.0566745,63.13605976104736,-377.458136057,9.21927,1000.0,2,5.73987,71
0.0193247,0.0,0.666091412306,73000,-0.0578746,64.93493866920471,-369.4141218,10.0949,1000.0,2,5.64064,73
0.0170315,0.0,0.59153971076,75000,-0.0582294,66.72756910324097,-362.815715173,6.92287,1000.0,2,5.56842,75
0.0157547,0.0,0.634190797806,77000,-0.057578,68.52570748329163,-354.98503793,8.30731,1000.0,2,5.50308,77
0.0166327,0.0,0.695001900196,79000,-0.0590881,70.33660936355591,-348.313463356,13.9186,1000.0,2,5.41166,79
0.013979,0.0,-0.161044716835,81000,-0.0525752,72.14572072029114,-340.041393459,14.8579,1000.0,2,5.37585,81
0.0161588,0.0,0.400741517544,83000,-0.0565513,73.93473744392395,-335.635284229,8.4775,1000.0,2,5.30586,83
0.0171589,0.0,0.697628438473,86000,-0.0636961,75.74749255180359,-324.600061734,8.56118,1000.0,3,5.19526,86
0.0175637,0.0,0.718473225832,88000,-0.0592918,77.53715944290161,-316.544760467,9.04238,1000.0,2,5.12126,88
0.0157164,0.0,0.576517909765,90000,-0.0555938,79.33774185180664,-308.091371413,8.13856,1000.0,2,5.03345,90
0.0169989,0.0,0.401503503323,92000,-0.0609647,81.11795043945312,-298.986772819,6.53914,1000.0,2,4.92896,92
0.0159946,0.0,0.136206567287,94000,-0.0588351,82.93038153648376,-289.567889653,6.69778,1000.0,2,4.83896,94
0.0154432,0.0,0.362171709538,96000,-0.0582826,84.71872568130493,-280.575472468,9.32662,1000.0,2,4.80141,96
0.0152558,0.0,0.592616349459,98000,-0.0624797,86.51702189445496,-271.600887631,10.7268,1000.0,2,4.71906,98
0.0163002,0.0,0.729566901922,100000,-0.062327,88.31026196479797,-262.572718678,11.6291,1000.0,2,4.63083,100
0.0179648,0.0,0.434559106827,102000,-0.0613625,90.10692286491394,-245.525551319,8.37642,1000.0,2,4.53111,102
