TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
191827,-0.00231385231018,906,929.67,-0.00892359,0.0,2,0.987233,0.00959962,151.86396670341492,929.67,70.2682
194015,0.277448356152,909,924.48,-0.0087579,0.0,3,0.99164,0.00914289,153.46462082862854,924.48,45.3471
196015,-0.0120152235031,911,924.48,-0.0036136,0.0,2,0.985891,0.00544928,155.0968940258026,924.48,70.4047
198015,-0.000199675559998,913,924.48,-0.0074327,0.0,2,0.978413,0.00544358,156.6992814540863,924.48,69.9876
200015,-0.00614285469055,915,932.49,-0.00600456,0.0,2,1.01344,0.00844652,158.3242757320404,932.49,69.7284
202015,-0.000284194946289,917,932.49,-0.0097363,0.0,2,0.993816,0.00601981,159.93364644050598,932.49,69.3755
204015,0.00292819738388,919,932.49,-0.0108196,0.0,2,0.999787,0.0104877,161.55864119529724,932.49,67.9656
206015,-0.00247120857239,921,932.49,-0.00458178,0.0,2,1.02559,0.00421404,163.15238666534424,932.49,64.1824
208195,0.290765225887,924,925.26,-0.00997695,0.0,3,1.00827,0.00940551,164.77738189697266,925.26,69.7602
210279,0.0705859065056,927,924.45,-0.010998,0.0,3,0.974354,0.00841998,166.3711278438568,924.45,66.0725
212279,0.00816959142685,929,924.45,-0.00658821,0.0,2,0.973202,0.00548345,167.98867416381836,924.45,64.142
214279,0.0210403800011,931,924.45,-0.00709729,0.0,2,0.9734,0.00701261,169.61434412002563,924.45,67.2239
216279,-0.00877618789673,933,924.45,-0.00428487,0.0,2,0.976264,0.0016379,171.21546483039856,924.45,69.0335
218279,0.00435388088226,935,924.45,-0.00438406,0.0,2,0.98856,0.0102858,172.8246021270752,924.45,36.9402
220279,-0.020158290863,937,924.45,-0.00418387,0.0,2,0.995567,0.00420017,174.43654537200928,924.45,70.0903
222279,0.0410286188126,939,924.45,-0.0078188,0.0,2,1.00959,0.00742813,176.05887174606323,924.45,64.3025
224706,-0.0170249938965,942,918.72,-0.00629036,0.0,3,1.02376,0.0059981,177.6695945262909,918.72,101.213
226706,0.0758383870125,944,918.72,-0.00886742,0.0,2,1.00392,0.00677926,179.2860860824585,918.72,40.2231
228706,0.0143042206764,946,918.72,-0.00472491,0.0,2,0.991112,0.00411582,180.8808479309082,918.72,67.2028
