loss_kl,EpRewMean,EpisodesSoFar,TimeElapsed,EpLenMean,loss_vf_loss,TimestepsSoFar,loss_pol_entpen,EpThisIter,loss_pol_surr,loss_ent,ev_tdlam_before
0.0200183,253.115017129,155,136.51495575904846,1000.0,42.7598,155000,0.0,2,-0.0441076,3.42013,0.221836864948
0.0233004,271.881992984,157,138.2971305847168,1000.0,51.1392,157000,0.0,2,-0.0573765,3.37856,0.615747123957
0.0265124,293.155962011,159,140.09400057792664,1000.0,43.3112,159000,0.0,2,-0.0364212,3.33106,0.0401930809021
0.0225015,314.25163114,161,141.8899757862091,1000.0,46.0051,161000,0.0,2,-0.0390298,3.32412,0.132946431637
0.0215402,335.337438396,163,143.6720108985901,1000.0,48.4258,163000,0.0,2,-0.0423057,3.20428,0.115712702274
0.0243438,355.082906284,165,145.46881318092346,1000.0,49.0914,165000,0.0,2,-0.0387987,3.1514,0.114589929581
0.0238987,373.575435267,167,147.25006699562073,1000.0,51.2179,167000,0.0,2,-0.0436091,3.1664,0.340750396252
0.0282412,392.044476561,169,149.031099319458,1000.0,54.4769,169000,0.0,2,-0.0427796,3.14387,0.48976123333
0.0206061,422.143016722,172,150.82261061668396,1000.0,73.972,172000,0.0,3,-0.0445681,3.14173,0.220353901386
0.0206107,441.31346195,174,152.61723637580872,1000.0,52.7958,174000,0.0,2,-0.0422076,3.09215,0.230892658234
0.0235255,459.613057721,176,154.40593886375427,1000.0,57.4731,176000,0.0,2,-0.0403666,3.01777,0.315569102764
0.0296919,479.062729474,178,156.1869101524353,1000.0,54.5844,178000,0.0,2,-0.0389974,2.97841,0.21992200613
0.0366373,497.874777397,180,157.98697638511658,1000.0,53.4825,180000,0.0,2,-0.0348752,2.94549,0.250064790249
0.0213821,516.238474295,182,159.76585149765015,1000.0,52.002,182000,0.0,2,-0.0363507,2.89252,0.132425844669
0.0290667,534.089536098,184,161.56182980537415,1000.0,56.2855,184000,0.0,2,-0.0556047,2.85871,0.528010427952
0.0193104,541.069636076,186,163.34317922592163,1000.0,58.0107,186000,0.0,2,-0.0537851,2.8324,0.789400935173
0.0219525,556.959346931,188,165.13992738723755,1000.0,62.7116,188000,0.0,2,-0.0407033,2.79079,0.156526267529
0.0245336,574.285288127,190,166.92197608947754,1000.0,58.5885,190000,0.0,2,-0.0414675,2.70994,0.120887339115
0.0256682,593.051738579,192,168.71862864494324,1000.0,58.4861,192000,0.0,2,-0.0360372,2.65765,0.263178408146
0.0257279,610.270677112,194,170.4995985031128,1000.0,62.9205,194000,0.0,2,-0.0385053,2.63628,0.322735548019
0.0235127,627.673076853,196,172.29623126983643,1000.0,63.1147,196000,0.0,2,-0.0355528,2.61064,0.136923074722
0.0254218,644.122410271,198,174.07805347442627,1000.0,66.5778,198000,0.0,2,-0.0333328,2.54244,0.160343229771
0.0256122,661.421936978,200,175.8926661014557,1000.0,67.2725,200000,0.0,2,-0.0377859,2.51016,0.302205204964
0.0239291,677.552607466,202,177.67193603515625,1000.0,68.9059,202000,0.0,2,-0.0381435,2.49128,0.171030342579
0.0282445,692.859372515,204,179.46908473968506,1000.0,73.4665,204000,0.0,2,-0.0430967,2.47609,0.384044766426
0.0237508,707.372032741,206,181.24345636367798,1000.0,69.008,206000,0.0,2,-0.0423964,2.4039,0.469972193241
0.0229079,721.661900825,208,183.04663920402527,1000.0,75.8628,208000,0.0,2,-0.0386835,2.35077,0.22373265028
0.0218,737.764737906,210,184.8314173221588,1000.0,77.3821,210000,0.0,2,-0.0365936,2.33344,0.212847232819
0.0310102,750.94318665,212,186.60934972763062,1000.0,79.3946,212000,0.0,2,-0.0354548,2.31136,0.15696144104
0.0282391,771.007420573,215,188.40601325035095,1000.0,101.781,215000,0.0,3,-0.0379665,2.27398,0.127084255219
