loss_pol_entpen,loss_ent,EpLenMean,EpThisIter,EpRewMean,loss_pol_surr,EpisodesSoFar,loss_kl,TimeElapsed,TimestepsSoFar,ev_tdlam_before,loss_vf_loss
0.0,-0.420381,751.51,2,6997.42808897,-0.00606851,4310,0.0243978,242.98025631904602,280480,0.12282460928,4527.97
0.0,-0.440075,760.13,2,7077.8658019,-0.0102376,4312,0.0113011,244.7510049343109,282480,-0.00476014614105,5510.62
0.0,-0.449573,773.11,2,7198.90962559,-0.011542,4314,0.0127657,246.50972604751587,284225,0.250242769718,4352.53
0.0,-0.448244,773.11,2,7199.08082679,-0.00639574,4316,0.0119114,248.2611105442047,286225,-0.0783976316452,5582.8
0.0,-0.43913,783.82,2,7298.94318107,-0.00834243,4318,0.0192142,250.02678656578064,288005,0.317780077457,3119.51
0.0,-0.443518,788.15,2,7339.4213863,-0.00571275,4320,0.0125974,251.7832362651825,290005,-0.0425889492035,5655.53
0.0,-0.441708,796.2,2,7414.50058115,-0.0103064,4322,0.00931934,253.54756259918213,292005,0.0186258554459,5128.11
0.0,-0.443421,802.67,2,7474.95028025,-0.00736656,4324,0.0153359,255.2988395690918,294005,-0.0695110559464,5669.09
0.0,-0.449874,792.97,3,7384.74809185,0.000934435,4327,0.0599786,257.05096101760864,296035,0.215366184711,6028.6
0.0,-0.456984,796.75,2,7420.04742031,-0.0103394,4329,0.0165248,258.81379556655884,298035,-0.00661551952362,5720.63
0.0,-0.45544,800.63,3,7456.38625593,-0.00247995,4332,0.0269775,260.57232117652893,301035,-0.0251481533051,8401.26
0.0,-0.431082,800.63,2,7456.55087207,-0.00894979,4334,0.0118063,262.32364535331726,303035,0.000140309333801,5725.22
0.0,-0.415351,814.05,2,7581.73626586,-0.0102191,4336,0.0181246,264.0740110874176,305035,-0.000162839889526,5742.3
0.0,-0.417303,826.54,2,7698.33327002,-0.00833356,4338,0.0199024,265.8389980792999,307035,-0.0483492612839,5792.98
0.0,-0.426456,832.43,2,7753.4075875,-0.00582778,4340,0.0250489,267.59708619117737,309035,-0.000364184379578,5768.17
0.0,-0.422612,836.25,2,7789.18630675,-0.0125353,4342,0.0201906,269.3600113391876,311035,-0.000372529029846,5783.26
0.0,-0.413134,850.14,2,7918.76820483,-0.00593525,4344,0.00543557,271.1103079319,313035,-6.8187713623e-05,5799.47
0.0,-0.389653,861.15,2,8021.61815109,-0.00717654,4346,0.0319415,272.8636062145233,315035,-0.00422728061676,5805.13
0.0,-0.414406,849.44,5,7912.85507649,-0.0142583,4351,0.00999811,274.63635206222534,317423,0.571413218975,4013.03
0.0,-0.427607,842.71,4,7850.3739069,-0.0189308,4355,0.0156852,276.38572788238525,319122,0.613149702549,5950.96
0.0,-0.432252,849.83,2,7916.83597302,-0.00623116,4357,0.0363558,278.1507558822632,321122,-0.128067970276,5894.43
0.0,-0.421748,860.82,2,8019.26808713,-0.00863478,4359,0.0128819,279.9021737575531,323122,-0.0578362941742,5821.06
0.0,-0.427411,837.17,5,7798.99935499,-0.000357443,4364,0.0176259,281.674782037735,325188,0.567124128342,7704.04
0.0,-0.44092,833.59,3,7765.75775326,-0.00691439,4367,0.0216822,283.4261713027954,327276,0.334867656231,7140.31
0.0,-0.444778,823.12,3,7668.25522038,-0.0136843,4370,0.0126853,285.1914508342743,329229,0.511530011892,5803.35
0.0,-0.466723,823.12,2,7668.36740626,-0.00401365,4372,0.0308034,286.9418239593506,331229,-0.214976668358,6048.91
0.0,-0.471814,827.82,3,7712.25277964,-0.00986257,4375,0.0136361,288.71473455429077,333808,0.277048170567,7302.0
