EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
645.63,780,61.8893,0.345842719078,1.0078,-0.00636163,645.63,0.0,4,75235,0.00337363,61.10967469215393
662.94,782,40.232,0.633339434862,1.01769,-0.00794963,662.94,0.0,2,77204,0.0141951,62.76555347442627
680.99,784,71.1658,0.00266963243484,1.00737,-0.00460317,680.99,0.0,2,79204,0.0102662,64.39059805870056
698.52,786,70.314,-0.0315523147583,1.00851,-0.00347722,698.52,0.0,2,81204,0.00743213,66.03104972839355
717.17,788,68.9482,0.00616675615311,0.998751,-0.00351578,717.17,0.0,2,83204,0.00403168,67.67151975631714
735.76,790,69.209,-0.0201660394669,1.01596,-0.00740697,735.76,0.0,2,85204,0.00916836,69.29649996757507
753.62,792,42.6866,0.143503904343,1.03149,-0.00351305,753.62,0.0,2,87204,0.00602374,70.93767809867859
772.35,794,69.448,-0.0166319608688,1.04799,-0.00637591,772.35,0.0,2,89204,0.00879543,72.57776236534119
790.93,796,69.3742,-0.00125646591187,1.03152,-0.00813506,790.93,0.0,2,91204,0.00843857,74.21908473968506
819.24,799,102.24,-0.00144410133362,1.03273,-0.00288011,819.24,0.0,3,94204,0.00210835,75.84400033950806
836.02,801,68.2494,-0.000694990158081,1.03167,-0.00126069,836.02,0.0,2,96204,0.00172142,77.48460912704468
853.19,803,42.6545,0.0187307596207,1.03616,-0.00637906,853.19,0.0,2,98204,0.00807897,79.12485027313232
870.08,805,68.8495,-0.00276708602905,1.01029,-0.00687299,870.08,0.0,2,100204,0.00599608,80.76671552658081
885.9,807,66.1449,0.00841516256332,1.01738,-0.00623666,885.9,0.0,2,102204,0.00678761,82.40630173683167
901.77,809,68.8778,-0.0269538164139,1.01478,-0.00407105,901.77,0.0,2,104204,0.00582746,84.04651713371277
916.33,811,68.6339,0.00391834974289,0.988577,-0.00399648,916.33,0.0,2,106204,0.0054775,85.70379900932312
926.86,813,65.9056,0.00570261478424,1.00302,-0.00635772,926.86,0.0,2,108204,0.00942162,87.32775402069092
938.69,815,64.5183,0.0164695382118,1.00933,-0.0053934,938.69,0.0,2,110204,0.00854485,88.96856141090393
948.61,817,69.5682,-0.0162867307663,1.00472,-0.00538999,948.61,0.0,2,112204,0.0109422,90.61001825332642
948.61,819,64.5329,-0.00380730628967,0.994742,-0.00279905,948.61,0.0,2,114204,0.00318452,92.2502830028534
