loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.037666,0.0221098,2.41848,2,201.78248262405396,1000.0,0.251435399055,83.57,0.0,729.566975507,229,229000
-0.0422982,0.0252681,2.37902,2,203.5786063671112,1000.0,0.189793467522,81.6282,0.0,739.687705633,231,231000
-0.0427689,0.0240192,2.36274,2,205.3599283695221,1000.0,0.457377493382,94.1983,0.0,747.445437078,233,233000
-0.0537126,0.027878,2.32721,2,207.17185854911804,1000.0,0.856799930334,88.7097,0.0,756.363832894,235,235000
-0.0520689,0.0197533,2.27636,2,208.96946024894714,1000.0,0.925105914474,51.2478,0.0,750.187928311,237,237000
-0.0464579,0.0223114,2.21179,2,210.76615238189697,1000.0,0.405484855175,89.3216,0.0,758.515143191,239,239000
-0.0439292,0.02815,2.18164,2,212.54871535301208,1000.0,0.295179724693,90.5357,0.0,766.467550215,241,241000
-0.0389749,0.0200074,2.17943,2,214.3444151878357,1000.0,0.144365370274,83.6313,0.0,774.05581619,243,243000
-0.0382729,0.0289837,2.16093,2,216.14134192466736,1000.0,0.10243088007,84.1221,0.0,781.550073826,245,245000
-0.0346495,0.030141,2.16684,2,217.9431393146515,1000.0,0.220343470573,86.0334,0.0,789.820829258,247,247000
-0.0345558,0.0240314,2.12237,2,219.7191023826599,1000.0,0.101465463638,86.4048,0.0,796.619872862,249,249000
-0.0374709,0.0260507,2.03935,2,221.51556015014648,1000.0,0.129773259163,94.0518,0.0,804.815277099,251,251000
-0.0375418,0.0304484,2.01801,2,223.31308722496033,1000.0,0.14387100935,93.2872,0.0,812.619033413,253,253000
-0.0464208,0.0342383,1.9804,3,225.1108078956604,1000.0,0.557023197412,139.819,0.0,819.515140878,256,256000
-0.0384127,0.0242373,1.93345,2,226.89173793792725,1000.0,0.0932999253273,89.5982,0.0,825.927475819,258,258000
-0.037329,0.0234139,1.92613,2,228.6887481212616,1000.0,0.112154185772,91.7541,0.0,831.927532097,260,260000
-0.041498,0.0260015,1.90842,2,230.4686689376831,1000.0,0.463253200054,95.1426,0.0,838.340055992,262,262000
-0.0353788,0.0200704,1.90283,2,232.26721024513245,1000.0,0.0707635879517,92.7792,0.0,844.710456186,264,264000
-0.0304919,0.042277,1.86172,2,234.06283617019653,1000.0,0.109242081642,95.6493,0.0,852.128245427,266,266000
-0.0415591,0.0239541,1.82577,2,235.87682151794434,1000.0,0.257121026516,102.525,0.0,856.736756933,268,268000
-0.0409806,0.0348545,1.7547,2,237.67224049568176,1000.0,0.120693445206,98.1497,0.0,864.089423964,270,270000
-0.044483,0.0265264,1.70715,2,239.4736111164093,1000.0,0.351292610168,101.552,0.0,871.418824966,272,272000
