loss_pol_entpen,EpisodesSoFar,loss_ent,EpThisIter,TimestepsSoFar,TimeElapsed,EpLenMean,loss_pol_surr,loss_vf_loss,EpRewMean,ev_tdlam_before,loss_kl
0.0,3888,19.778,19,276402,496.03882694244385,97.74,-0.136178,0.424307,48.2900810121,0.932732775807,0.1066
0.0,3909,19.7451,21,278487,499.7587380409241,98.4,-0.142632,0.372225,48.7738819372,0.96102450043,0.0991719
0.0,3929,19.7141,20,280521,503.5000796318054,98.94,-0.143082,0.489729,49.0476438755,0.959958687425,0.103293
0.0,3952,19.6476,23,282611,507.19500255584717,98.97,-0.143214,0.330066,49.0633223823,0.95732934773,0.111385
0.0,3974,19.6178,22,284642,510.92264103889465,98.36,-0.146055,0.327472,49.1905563145,0.967311389744,0.109462
0.0,3995,19.556,21,286670,514.6640250682831,94.85,-0.147717,0.347544,47.88899108,0.968319818377,0.112785
0.0,4017,19.5405,22,288719,518.3917851448059,94.29,-0.140671,0.366192,47.3978960101,0.957020156085,0.0921445
0.0,4038,19.5493,21,290807,522.1654758453369,94.95,-0.1485,0.303218,47.5048678751,0.963983617723,0.110954
0.0,4058,19.5505,20,292785,525.894326210022,95.5,-0.140486,0.312698,47.8184436583,0.961808152497,0.100652
0.0,4079,19.5571,21,294862,529.6093013286591,97.35,-0.140263,0.359839,48.565380421,0.961430300027,0.105317
0.0,4100,19.5263,21,296923,533.3608782291412,98.35,-0.142152,0.385045,48.6381202943,0.953120328486,0.112118
0.0,4121,19.4926,21,298959,537.0936706066132,98.29,-0.138608,0.400606,48.622899814,0.963159594685,0.0982501
0.0,4144,19.4728,23,301049,540.8208680152893,95.95,-0.1415,0.401043,47.9377604122,0.960399482399,0.106384
0.0,4164,19.4285,20,303044,544.5870714187622,95.89,-0.139814,0.351916,47.6478523692,0.960899282247,0.102972
0.0,4185,19.3799,21,305093,548.3445026874542,97.07,-0.146069,0.322665,48.1494241913,0.96828282997,0.101826
0.0,4207,19.3145,22,307144,552.0953676700592,95.29,-0.140989,0.336936,47.5769491916,0.958881810308,0.115234
0.0,4228,19.242,21,309201,555.82160115242,95.92,-0.148227,0.268639,47.8619233437,0.970643712208,0.106991
0.0,4249,19.236,21,311199,559.56041264534,96.88,-0.144496,0.321205,48.1152208867,0.966618735343,0.112429
0.0,4271,19.2004,22,313307,563.281400680542,96.17,-0.143367,0.328441,48.1171827819,0.942229084671,0.110357
0.0,4290,19.1742,19,315235,567.0387010574341,96.81,-0.140445,0.394963,48.1561033324,0.959112100303,0.113958
0.0,4311,19.1024,21,317373,570.773768901825,98.74,-0.146497,0.364859,48.7512307036,0.960569333285,0.125856
0.0,4331,19.0754,20,319403,574.5523879528046,98.94,-0.148745,0.333225,48.6646641134,0.96661490947,0.116236
0.0,4352,19.0106,21,321513,578.298602104187,100.39,-0.148804,0.285967,49.2587439727,0.965459413826,0.122562
0.0,4372,18.9472,20,323501,582.0625638961792,100.95,-0.140148,0.230671,49.3337189315,0.969592956826,0.122203
0.0,4393,18.9237,21,325525,585.7817027568817,99.18,-0.144563,0.28031,48.7578289014,0.968127492815,0.109364
0.0,4412,18.9082,19,327608,589.5187783241272,101.47,-0.143468,0.224724,49.9060904773,0.962974052876,0.127462
0.0,4433,18.873,21,329610,593.2354600429535,99.99,-0.145874,0.282562,49.4833653553,0.962003070861,0.122606
0.0,4453,18.869,20,331770,596.992030620575,101.51,-0.146505,0.259719,50.1043430234,0.956480510533,0.124936
0.0,4473,18.8063,20,333777,600.7268915176392,101.62,-0.152677,0.225762,50.2911868168,0.972025759518,0.111305
0.0,4495,18.7713,22,335774,604.4343814849854,99.52,-0.148187,0.295367,49.6645400228,0.961472865194,0.113862
0.0,4515,18.74,20,337816,608.1491634845734,98.98,-0.142906,0.249697,49.3907378335,0.97156021744,0.116634
