EpLenMean,loss_ent,EpRewMean,TimestepsSoFar,EpThisIter,loss_pol_entpen,loss_vf_loss,ev_tdlam_before,loss_pol_surr,loss_kl,TimeElapsed,EpisodesSoFar
845.5,1.16661,845.5,214937,2,0.0,67.9901,-0.00258111953735,-0.00578455,0.00600431,170.51345658302307,965
845.5,1.17504,845.5,216937,2,0.0,68.0658,0.000417232513428,-0.00725534,0.0125592,172.13100790977478,967
849.78,1.17381,849.78,218937,2,0.0,68.155,-0.000348806381226,-0.00751812,0.00802829,173.75586676597595,969
849.78,1.1776,849.78,220937,2,0.0,68.1759,-0.000436663627625,-0.00334234,0.00413804,175.37738013267517,971
860.64,1.19309,860.64,222937,2,0.0,66.6986,0.00289112329483,-0.00936487,0.00986605,176.9975380897522,973
869.83,1.192,869.83,224937,2,0.0,68.325,-0.0306905508041,-0.00475487,0.00431171,178.6233012676239,975
870.45,1.19698,870.45,226937,2,0.0,68.4305,-0.000419735908508,-0.00598158,0.00621502,180.24168467521667,977
870.45,1.21052,870.45,228937,2,0.0,68.2152,0.000969707965851,-0.00498538,0.00697675,181.8543083667755,979
870.45,1.19844,870.45,230937,2,0.0,68.4588,-0.000493407249451,-0.00683696,0.0105859,183.4743185043335,981
870.45,1.18963,870.45,232937,2,0.0,68.4402,-0.00017237663269,-0.00710778,0.0123522,185.09931325912476,983
870.45,1.15894,870.45,234937,2,0.0,68.4147,-0.00223565101624,-0.00753877,0.00600913,186.70868468284607,985
870.45,1.15729,870.45,236937,2,0.0,68.4786,-0.00039005279541,-0.00716813,0.0159008,188.33431720733643,987
863.4,1.15214,863.4,239232,3,0.0,67.3949,0.0298303365707,-0.00890055,0.00684148,189.95408177375793,990
874.25,1.14341,874.25,241232,2,0.0,68.5097,-0.0409178733826,-0.0059692,0.00614174,191.56583499908447,992
884.31,1.1513,884.31,243232,2,0.0,68.2657,-0.00643146038055,-0.00703808,0.00494193,193.19453310966492,994
896.08,1.16141,896.08,245029,2,0.0,64.5207,0.0026763677597,-0.00635029,0.00450824,194.81103324890137,996
896.08,1.15884,896.08,247029,2,0.0,68.3302,-0.0225918292999,-0.00719174,0.00645647,196.43493628501892,998
896.08,1.16193,896.08,249029,2,0.0,68.4096,-0.00321757793427,-0.00870508,0.00935965,198.05366349220276,1000
901.04,1.17389,901.04,251029,2,0.0,64.6734,0.00825321674347,-0.00516788,0.00574606,199.67737579345703,1002
901.04,1.19191,901.04,253029,2,0.0,68.2839,-0.0277661085129,-0.0069681,0.00825923,201.2867467403412,1004
895.45,1.17877,895.45,255081,3,0.0,91.6392,0.00843757390976,-0.00749907,0.00335535,202.9117410182953,1007
895.88,1.18477,895.88,257081,2,0.0,68.2232,-0.016828417778,-0.0066656,0.00772517,204.57228350639343,1009
895.88,1.1869,895.88,260081,3,0.0,99.9612,-0.00684535503387,-0.00807672,0.0107313,206.19300293922424,1012
895.88,1.1727,895.88,262081,2,0.0,67.1631,-0.00220632553101,-0.00729477,0.00838679,207.81053256988525,1014
887.13,1.17904,887.13,263206,2,0.0,35.4323,0.183274030685,-0.00674748,0.00287735,209.43585419654846,1016
900.5,1.18205,900.5,266206,3,0.0,96.0771,0.000754058361053,-0.00579883,0.00552091,211.06089186668396,1019
868.85,1.16466,868.85,268041,5,0.0,69.93,0.450224876404,-0.0112847,0.00569074,212.68512606620789,1024
868.85,1.1635,868.85,270041,2,0.0,71.6654,-0.164270043373,-0.00661444,0.00451026,214.32682824134827,1026
868.85,1.16159,868.85,272041,2,0.0,67.6558,-0.0114864110947,-0.0030787,0.00695742,215.95284223556519,1028
867.99,1.16321,867.99,274354,3,0.0,46.22,0.463233411312,-0.00802385,0.00424149,217.5679099559784,1031
867.99,1.17275,867.99,276354,2,0.0,68.4134,-0.020147562027,-0.00639597,0.00478201,219.1929075717926,1033
873.65,1.19064,873.65,278354,2,0.0,68.6553,-0.018957734108,-0.00750168,0.00885585,220.80227661132812,1035
891.36,1.21834,891.36,280354,2,0.0,68.4423,-0.000676870346069,-0.0034819,0.00459585,222.42727208137512,1037
903.66,1.21578,903.66,282354,2,0.0,68.3853,-0.0131529569626,-0.00620908,0.00800407,224.0552670955658,1039
914.03,1.2283,914.03,284302,2,0.0,37.6594,0.441390573978,-0.00752152,0.00845129,225.6656482219696,1041
914.03,1.22238,914.03,286302,2,0.0,69.1216,-0.0148547887802,-0.00567448,0.00727494,227.29172945022583,1043
914.03,1.22031,914.03,288302,2,0.0,68.9212,-0.000388264656067,-0.0066503,0.00681309,228.89257860183716,1045
914.03,1.20601,914.03,290302,2,0.0,68.7568,-0.00618958473206,-0.00613714,0.00674381,230.5254406929016,1047
917.75,1.18501,917.75,292363,3,0.0,99.2774,-0.00588595867157,-0.00590829,0.0061053,232.1272623538971,1050
916.59,1.18118,916.59,294596,3,0.0,98.7301,0.00756102800369,-0.00812415,0.0110709,233.7514934539795,1053
916.59,1.18179,916.59,296596,2,0.0,66.9977,-0.000222086906433,-0.00542106,0.00529436,235.37877321243286,1055
916.59,1.17748,916.59,298596,2,0.0,67.2343,-4.6968460083e-05,-0.0023805,0.00404482,236.98147869110107,1057
916.59,1.1853,916.59,300596,2,0.0,67.4679,-0.00234639644623,-0.010666,0.00912258,238.60710549354553,1059
916.59,1.18775,916.59,302596,2,0.0,67.6959,-0.000329732894897,-0.00605774,0.00811298,240.22533082962036,1061
908.33,1.18905,908.33,304770,3,0.0,70.4849,0.135811626911,-0.00626923,0.0042249,241.8496959209442,1064
908.33,1.189,908.33,306770,2,0.0,67.8378,-0.000994801521301,-0.00449788,0.00585306,243.4590847492218,1066
908.33,1.17391,908.33,308770,2,0.0,67.9786,1.10268592834e-05,-0.0107509,0.00740284,245.0776011943817,1068
908.33,1.18619,908.33,310770,2,0.0,68.0792,-0.00029182434082,-0.00787679,0.00722402,246.70211267471313,1070
903.92,1.18972,903.92,313329,3,0.0,66.9304,0.200652718544,-0.0110434,0.013424,248.3116536140442,1073
894.44,1.19567,894.44,315381,3,0.0,44.2746,0.54556030035,-0.00706678,0.00222046,249.95997214317322,1076
894.44,1.1727,894.44,317381,2,0.0,69.1331,-0.015346288681,-0.00842185,0.0134432,251.58412504196167,1078
894.44,1.17783,894.44,319381,2,0.0,68.6384,-0.0597817897797,-0.00784585,0.0144736,253.1938669681549,1080
875.63,1.16783,875.63,321500,4,0.0,80.3817,0.338078141212,-0.0140032,0.00465411,254.8104066848755,1084
875.63,1.15572,875.63,323500,2,0.0,69.1157,-0.0213581323624,-0.0120696,0.0108729,256.4193251132965,1086
875.63,1.14673,875.63,325500,2,0.0,68.4915,0.00184339284897,-0.00740091,0.00736588,258.0530049800873,1088
882.68,1.13694,882.68,327500,2,0.0,68.7461,-0.000678539276123,-0.00691837,0.00414691,259.6621079444885,1090
882.68,1.11345,882.68,329500,2,0.0,68.6497,0.000564575195313,-0.00788806,0.0093035,261.2777862548828,1092
882.68,1.10277,882.68,331500,2,0.0,68.6782,-0.00178384780884,-0.00949854,0.0125944,262.8812093734741,1094
884.71,1.09362,884.71,333500,2,0.0,68.4906,-0.00828349590302,-0.00921599,0.00616062,264.50541138648987,1096
884.71,1.08159,884.71,335500,2,0.0,68.5993,-0.00181639194489,-0.00827559,0.00548418,266.130407333374,1098
884.71,1.10062,884.71,337500,2,0.0,51.6288,0.00814127922058,-0.0083001,0.00451812,267.75540137290955,1100
884.71,1.09824,884.71,339500,2,0.0,68.3788,0.00203132629395,-0.0086489,0.00852605,269.36731815338135,1102
884.71,1.10494,884.71,341500,2,0.0,69.4632,-0.01526927948,-0.00675056,0.0099563,271.0004231929779,1104
884.71,1.12649,884.71,343500,2,0.0,69.1025,-0.00687170028687,-0.0069258,0.0116684,272.62676787376404,1106
894.19,1.13024,894.19,345500,2,0.0,69.0213,2.7060508728e-05,-0.00777083,0.00654579,274.2397494316101,1108
894.19,1.11917,894.19,347500,2,0.0,68.9517,-0.000344514846802,-0.00797193,0.0105714,275.86474418640137,1110
894.19,1.14015,894.19,349500,2,0.0,68.8436,0.000595092773438,-0.00771168,0.0128574,277.47411370277405,1112
894.19,1.16662,894.19,351500,2,0.0,68.7692,-0.000176787376404,-0.006046,0.00763299,279.09910821914673,1114
902.94,1.1706,902.94,353500,2,0.0,68.7147,3.71932983398e-05,-0.00517585,0.00522192,280.7084801197052,1116
899.87,1.16252,899.87,356193,3,0.0,96.6349,0.010270178318,-0.00783178,0.00579959,282.3334746360779,1119
909.22,1.13561,909.22,358193,2,0.0,67.5184,-0.0206681489944,-0.00655549,0.00884727,283.9740948677063,1121
923.28,1.13484,923.28,360193,2,0.0,67.8782,-0.00107574462891,-0.00529963,0.00493889,285.59908986091614,1123
931.52,1.15126,931.52,362193,2,0.0,67.9262,-0.00109648704529,-0.00498242,0.00613937,287.1928355693817,1125
931.52,1.1542,931.52,364193,2,0.0,65.5442,0.000871479511261,-0.00962236,0.00839672,288.82978081703186,1127
932.15,1.17685,932.15,366193,2,0.0,68.121,-0.00584661960602,-0.00497094,0.00510054,290.44033312797546,1129
938.39,1.18724,938.39,368193,2,0.0,68.2157,-0.00415134429932,-0.00514907,0.00548567,292.0653266906738,1131
928.51,1.18567,928.51,370205,3,0.0,86.7833,0.0147806406021,-0.0104886,0.00732034,293.6774082183838,1134
928.51,1.18241,928.51,372205,2,0.0,66.4066,-0.0207756757736,-0.00910817,0.00593256,295.30240273475647,1136
928.51,1.19137,928.51,374205,2,0.0,68.0776,-0.0170960426331,-0.00785403,0.00936418,296.9156057834625,1138
928.51,1.20654,928.51,376205,2,0.0,68.1874,-0.0046284198761,-0.00873136,0.0106739,298.5523295402527,1140
922.33,1.17787,922.33,378535,3,0.0,74.0177,0.00812220573425,-0.0128822,0.00895667,300.16169929504395,1143
915.58,1.15389,915.58,380860,3,0.0,86.9623,0.072346329689,-0.00987702,0.00756393,301.7867069244385,1146
904.07,1.13847,904.07,382709,3,0.0,61.569,0.362203598022,-0.0144771,0.0113789,303.39606380462646,1149
913.46,1.13194,913.46,384709,2,0.0,65.3536,0.034472823143,-0.00961526,0.00842776,305.02105951309204,1151
921.13,1.10786,921.13,386709,2,0.0,68.2665,0.00556308031082,-0.00839611,0.00502609,306.6460556983948,1153
921.13,1.09676,921.13,388709,2,0.0,68.9323,-0.0160803794861,-0.00969356,0.0103692,308.2866749763489,1155
921.13,1.0758,921.13,390709,2,0.0,68.1659,-0.00633275508881,-0.011381,0.00598989,309.8960461616516,1157
921.13,1.0764,921.13,392709,2,0.0,68.2507,-0.00872576236725,-0.00485039,0.00585927,311.5054166316986,1159
921.13,1.0912,921.13,394709,2,0.0,67.9854,-0.0143576860428,-0.00394483,0.00662793,313.146035194397,1161
921.13,1.07726,921.13,396709,2,0.0,61.4765,0.0114794969559,-0.00632621,0.00987605,314.7554051876068,1163
929.39,1.07776,929.39,398709,2,0.0,69.1801,-0.0102078914642,-0.0067194,0.00491576,316.38039994239807,1165
929.39,1.10082,929.39,400709,2,0.0,68.9131,-0.00548994541168,-0.00683517,0.00845368,317.9897699356079,1167
919.77,1.08693,919.77,402747,3,0.0,92.7584,0.00837761163712,-0.0074846,0.00543439,319.6147654056549,1170
920.58,1.08556,920.58,404747,2,0.0,67.7733,-0.012542963028,-0.00370867,0.00335445,321.23976135253906,1172
927.54,1.0735,927.54,406747,2,0.0,67.762,-0.0207542181015,-0.00490487,0.00450995,322.86475682258606,1174
933.66,1.07633,933.66,408747,2,0.0,67.5418,-0.00495111942291,-0.00325158,0.0130873,324.48187732696533,1176
933.66,1.08258,933.66,410747,2,0.0,60.8249,0.068420112133,-0.00649686,0.00485076,326.08404326438904,1178
933.66,1.08748,933.66,412747,2,0.0,60.1609,0.128583729267,-0.00754796,0.0103656,327.71389508247375,1180
939.51,1.07645,939.51,414747,2,0.0,69.2338,-0.0289540290833,-0.00655725,0.0170197,329.3278510570526,1182
952.47,1.06245,952.47,417747,3,0.0,79.1749,-0.00116574764252,-0.00540612,0.00582948,330.9457173347473,1185
952.47,1.06353,952.47,419747,2,0.0,68.2193,-0.00676691532135,-0.00491917,0.00413368,332.563951253891,1187
952.47,1.08581,952.47,421747,2,0.0,68.3735,0.000287055969238,-0.00469568,0.00538195,334.1934423446655,1189
952.47,1.07696,952.47,423747,2,0.0,68.5178,0.000223100185394,-0.00857323,0.00549426,335.81196641921997,1191
952.47,1.07406,952.47,425747,2,0.0,68.1763,0.00164449214935,-0.00752963,0.00812723,337.42044973373413,1193
952.47,1.07556,952.47,427747,2,0.0,65.8838,0.0301207900047,-0.00705793,0.00728088,339.0375211238861,1195
952.47,1.07054,952.47,429747,2,0.0,67.9778,0.00863063335419,-0.00499202,0.00856003,340.66165828704834,1197
952.47,1.06073,952.47,431747,2,0.0,67.7782,0.015854537487,-0.00573789,0.00574127,342.2710289955139,1199
952.47,1.04946,952.47,433747,2,0.0,67.3158,0.0430194735527,-0.00805919,0.00714467,343.8960235118866,1201
952.47,1.05885,952.47,435747,2,0.0,67.8829,0.0299455523491,-0.00681329,0.00706159,345.5053927898407,1203
952.47,1.04415,952.47,437747,2,0.0,70.0787,-0.00966036319733,-0.00908407,0.00455425,347.1147656440735,1205
952.47,1.05459,952.47,439747,2,0.0,69.1278,-0.00089168548584,-0.0080365,0.0061273,348.7397584915161,1207
952.47,1.0229,952.47,441747,2,0.0,63.7467,0.00639420747757,-0.00859152,0.00862153,350.36475348472595,1209
952.47,1.03073,952.47,443747,2,0.0,68.8524,-0.0110672712326,-0.00376853,0.002471,351.9741246700287,1211
952.47,1.03562,952.47,445747,2,0.0,69.3249,-0.0108152627945,-0.00882992,0.00852544,353.5834939479828,1213
952.47,1.0581,952.47,447747,2,0.0,69.1572,-0.010063290596,-0.00490385,0.0044809,355.20848870277405,1215
